# SDSS-like Void Catalog (synthetic based on published statistics)
# Reference: Sutter et al. 2012, Mao et al. 2017
# RA DEC z R_eff[Mpc/h] delta_c
102.6171 10.4953 0.3452 18.63 -0.802
199.0974 7.6521 0.2607 44.47 -0.628
143.0273 1.0500 0.1951 28.86 -0.851
176.5432 58.7289 0.1976 20.09 -0.854
262.7888 30.0047 0.2183 17.76 -0.736
167.8360 43.9915 0.2107 20.78 -0.641
242.7663 9.1253 0.1725 15.48 -0.615
132.0519 50.6432 0.1583 6.98 -0.829
214.3183 50.8004 0.1450 55.52 -0.868
266.0912 15.0078 0.0897 21.62 -0.524
117.3218 22.8546 0.1275 24.41 -0.796
101.4144 6.7752 0.0146 19.43 -0.559
173.7091 68.1249 0.1421 13.85 -0.555
115.7463 41.6482 0.0709 18.22 -0.591
227.2253 64.7635 0.0617 8.99 -0.832
255.4733 14.2708 0.1644 62.44 -0.571
173.7836 52.5513 0.2614 10.79 -0.592
143.9810 51.2687 0.2235 11.94 -0.661
173.8486 45.3325 0.0244 16.05 -0.765
222.9861 67.2511 0.0708 38.08 -0.795
101.5392 21.4844 0.2253 20.15 -0.851
200.2072 0.4574 0.0714 10.78 -0.696
204.2596 43.7367 0.1320 37.45 -0.666
208.4070 48.3448 0.1940 28.82 -0.756
141.1438 36.0048 0.0725 26.18 -0.710
221.3890 6.5454 0.1584 28.61 -0.755
115.5366 30.3565 0.0433 66.22 -0.644
133.8760 14.9752 0.1019 59.64 -0.539
249.1699 24.1973 0.1756 14.19 -0.834
225.5829 41.6175 0.0226 45.05 -0.747
102.3367 49.6172 0.1852 24.22 -0.844
142.2240 8.5780 0.1484 25.67 -0.650
136.4491 22.4260 0.1942 8.58 -0.608
146.0371 11.5329 0.1679 18.37 -0.527
142.0852 5.8905 0.2591 13.32 -0.788
110.6295 52.6710 0.1600 30.26 -0.520
178.0199 62.7402 0.1156 34.17 -0.875
224.5647 19.6186 0.1598 7.09 -0.659
203.1444 50.1023 0.1935 19.78 -0.877
214.3882 61.7596 0.1539 35.05 -0.542
113.7954 57.6899 0.1532 18.22 -0.688
261.7534 4.6251 0.0938 28.80 -0.632
242.5436 66.5034 0.0970 23.84 -0.567
236.8654 20.1341 0.0378 23.73 -0.840
239.9072 17.1393 0.2900 17.46 -0.885
258.5608 -5.0055 0.0505 10.89 -0.548
192.5232 28.8939 0.0946 11.42 -0.774
134.0479 -1.2789 0.0925 28.51 -0.848
204.8532 9.8832 0.2216 20.20 -0.713
226.2899 15.3554 0.1264 18.66 -0.661
225.4460 54.7061 0.2498 16.18 -0.888
188.6463 60.0391 0.0961 17.17 -0.790
111.6380 14.1973 0.1723 33.76 -0.887
163.0892 58.6958 0.0832 16.91 -0.732
256.5303 58.5785 0.3216 10.23 -0.542
199.3563 51.1721 0.0550 29.01 -0.507
191.5164 1.7356 0.1748 18.05 -0.645
145.7051 45.2258 0.2007 20.32 -0.835
162.6363 65.6019 0.1831 44.68 -0.538
252.2088 44.6032 0.1352 19.80 -0.694
213.2987 16.5293 0.1396 23.11 -0.839
233.8558 30.0463 0.1535 11.09 -0.531
177.2387 41.6580 0.1382 17.92 -0.597
207.1420 30.8456 0.2271 27.13 -0.607
142.2252 -0.4038 0.3268 9.19 -0.616
219.9283 14.9651 0.1054 22.11 -0.820
172.6922 54.1917 0.0404 21.03 -0.816
175.2327 58.9134 0.1429 20.42 -0.625
210.3848 0.9840 0.3564 33.59 -0.812
259.1677 66.1909 0.0857 23.64 -0.725
110.8811 16.3058 0.2811 41.88 -0.587
240.2064 42.9851 0.2842 12.17 -0.586
149.7051 50.1460 0.1057 21.41 -0.719
175.4663 54.9557 0.1955 20.86 -0.583
103.7253 65.6600 0.2803 11.72 -0.565
151.1778 15.0336 0.1197 32.26 -0.638
185.4473 58.6805 0.1337 63.95 -0.809
109.5499 0.5350 0.1035 19.83 -0.790
183.4863 46.4033 0.0688 25.75 -0.774
257.6088 49.3582 0.0981 20.86 -0.853
117.9168 44.2179 0.0521 14.00 -0.791
229.9549 10.1852 0.1527 8.05 -0.816
169.6441 59.8435 0.0884 14.05 -0.718
211.3795 3.5087 0.1687 9.97 -0.537
144.2402 -5.7092 0.0255 46.89 -0.858
127.1137 47.3972 0.1765 18.88 -0.612
127.2786 28.0381 0.2167 16.82 -0.625
111.9836 57.9278 0.1799 31.20 -0.862
131.5599 20.6718 0.2482 11.41 -0.531
212.9173 3.4623 0.0532 13.63 -0.673
249.8874 56.9154 0.2838 20.69 -0.755
238.4014 33.9128 0.1835 33.45 -0.597
216.4728 5.1357 0.0936 25.70 -0.797
118.7734 47.6307 0.1455 22.64 -0.623
149.1619 30.8891 0.1947 20.80 -0.884
152.6672 38.3450 0.1561 24.43 -0.564
142.4927 26.8719 0.1931 22.12 -0.721
187.5510 56.2967 0.0763 11.95 -0.645
191.0441 56.3650 0.1635 20.47 -0.812
160.6706 46.7511 0.0369 11.69 -0.629
160.1442 -1.5679 0.1411 20.83 -0.591
240.8545 57.1083 0.0777 15.73 -0.711
234.1798 43.6810 0.0912 71.20 -0.653
152.3253 45.7619 0.2489 19.61 -0.717
255.3440 19.0386 0.2373 9.91 -0.542
261.9786 60.3424 0.1987 18.70 -0.701
155.5462 48.0297 0.0626 25.93 -0.563
160.2522 -0.9928 0.1247 46.17 -0.579
185.9578 22.6222 0.2470 14.89 -0.736
259.9905 60.9104 0.1613 9.07 -0.808
248.9743 -6.2243 0.3355 30.09 -0.738
117.4366 66.9133 0.1815 10.03 -0.570
166.7642 44.3330 0.1654 16.08 -0.809
194.0731 40.5101 0.1253 17.58 -0.690
185.5325 11.6447 0.1607 19.32 -0.578
132.9567 9.9033 0.1378 28.23 -0.759
245.9989 65.3647 0.2066 14.21 -0.643
215.0799 13.8618 0.2265 17.44 -0.802
242.4444 52.0404 0.0871 19.86 -0.856
245.9899 21.4497 0.0435 21.55 -0.582
227.2205 1.1403 0.1906 21.00 -0.860
174.6658 -9.1428 0.0617 24.87 -0.791
203.7929 33.5406 0.0222 30.50 -0.558
127.2621 68.0623 0.1811 24.34 -0.761
214.5197 19.5309 0.3494 25.09 -0.511
130.4731 18.5754 0.1495 9.07 -0.508
217.9714 17.5273 0.2171 20.51 -0.793
139.0317 31.6435 0.1565 25.42 -0.884
119.9837 25.2532 0.1421 28.80 -0.618
128.0984 60.3932 0.2235 14.15 -0.720
100.3387 30.4417 0.1268 14.39 -0.860
222.1857 30.6206 0.1714 15.01 -0.617
224.5082 1.0697 0.1757 26.15 -0.888
187.5387 68.6192 0.0966 33.54 -0.552
127.4317 9.9978 0.2294 16.31 -0.845
114.2042 -4.1309 0.1360 31.49 -0.849
103.2519 43.0517 0.0895 21.27 -0.830
128.1772 37.6293 0.1929 18.79 -0.516
251.4454 23.2117 0.0781 17.99 -0.623
141.0613 23.7754 0.1523 29.05 -0.579
160.2261 52.8051 0.1493 23.54 -0.741
117.9087 5.6570 0.2369 62.40 -0.765
137.8014 55.6203 0.1880 13.06 -0.806
188.2682 41.8998 0.1480 25.91 -0.708
203.3180 23.5176 0.2154 15.35 -0.679
141.7099 26.6423 0.2612 12.95 -0.647
109.8145 10.5318 0.1946 19.89 -0.797
166.4756 50.1691 0.1508 21.42 -0.521
139.8146 31.0300 0.0451 86.04 -0.832
137.3242 15.6684 0.0648 18.24 -0.514
263.1767 37.6840 0.1256 11.37 -0.894
204.7711 69.6588 0.1012 22.93 -0.708
194.6693 24.8210 0.1350 7.09 -0.767
170.6818 63.6553 0.1545 19.10 -0.720
172.9205 17.6013 0.1924 20.16 -0.672
191.9539 -5.6214 0.1444 29.76 -0.726
218.3931 6.3394 0.1889 32.54 -0.734
219.3648 23.4956 0.1552 15.55 -0.607
129.1880 7.5708 0.0749 18.55 -0.626
185.0192 -9.9818 0.1385 13.64 -0.567
170.0329 63.2001 0.0532 11.38 -0.800
247.9896 57.5104 0.1980 23.35 -0.656
207.3412 49.3834 0.2725 10.58 -0.666
190.5257 3.4252 0.2475 16.26 -0.752
119.6171 -0.3709 0.1329 12.16 -0.706
202.9584 -4.5916 0.2693 26.33 -0.774
119.9247 47.9223 0.1619 49.23 -0.843
157.3251 64.3046 0.1230 10.43 -0.814
124.2831 24.4429 0.1009 7.92 -0.858
217.6525 -0.4687 0.1258 18.79 -0.627
135.0629 30.9914 0.1189 20.16 -0.636
166.6161 17.9066 0.1636 22.31 -0.520
252.2647 19.9860 0.1628 16.00 -0.608
134.7338 39.7064 0.1502 18.09 -0.879
186.3269 47.4974 0.1850 24.03 -0.546
171.2762 -1.1517 0.2453 33.65 -0.555
103.0811 -7.1528 0.2260 7.52 -0.723
234.7689 69.5464 0.0312 16.63 -0.666
111.7378 8.6183 0.0543 22.26 -0.510
180.6234 -5.6936 0.2247 12.64 -0.687
195.3153 5.1900 0.0406 47.53 -0.538
206.8325 -6.8834 0.1320 14.56 -0.867
217.0674 21.3449 0.0564 19.59 -0.824
143.0563 54.1921 0.1933 26.41 -0.724
101.6964 17.2996 0.2107 14.88 -0.666
222.9854 25.5347 0.1039 7.94 -0.574
191.0616 44.0469 0.0573 16.14 -0.505
242.1400 30.7115 0.1063 33.46 -0.744
239.6360 58.9157 0.1813 16.90 -0.881
243.3654 59.2829 0.0317 13.10 -0.580
182.4661 -9.2071 0.1647 31.77 -0.658
156.7168 52.2437 0.1488 16.95 -0.821
234.5649 26.8587 0.1963 15.50 -0.702
176.7200 69.1072 0.1596 21.55 -0.603
131.1852 28.6586 0.0722 29.40 -0.592
245.3456 68.9517 0.2457 65.80 -0.700
250.0352 50.3655 0.1373 30.25 -0.778
179.2727 9.8884 0.1478 35.72 -0.511
112.8690 33.0716 0.0753 15.53 -0.635
165.9304 69.3709 0.1145 11.97 -0.737
236.6014 58.6024 0.0792 20.63 -0.788
253.3016 -2.2106 0.1362 21.10 -0.608
134.5904 46.5098 0.2869 11.66 -0.803
111.3855 17.6464 0.0402 18.32 -0.831
249.1496 -9.4414 0.0209 24.42 -0.688
166.1988 22.2785 0.2677 23.95 -0.784
192.0994 8.7804 0.1333 25.74 -0.648
264.5712 55.5095 0.0965 23.13 -0.853
111.3160 16.9864 0.2332 15.52 -0.638
210.2141 56.2019 0.1016 15.47 -0.787
112.5979 -9.9522 0.2961 10.98 -0.900
163.8297 14.6255 0.2042 48.82 -0.849
236.6485 9.2932 0.1110 20.13 -0.527
173.6903 8.6854 0.3226 17.87 -0.553
269.5210 -4.5451 0.1015 12.57 -0.807
195.0401 4.9699 0.2094 86.80 -0.589
154.5976 34.4440 0.1739 11.69 -0.657
137.4189 13.3089 0.2541 16.14 -0.512
159.5885 23.3916 0.2749 24.62 -0.751
163.3307 20.1494 0.1526 27.00 -0.627
111.6813 60.0724 0.0897 32.29 -0.875
162.8276 62.4239 0.1868 49.38 -0.742
178.9205 29.4366 0.0958 25.76 -0.514
222.8654 16.4125 0.3111 11.80 -0.684
211.6440 -1.4559 0.1609 17.59 -0.785
220.4902 66.2722 0.1208 23.33 -0.852
101.4218 -5.1818 0.1648 56.25 -0.619
137.0035 13.8120 0.0422 9.94 -0.642
212.4863 13.8453 0.0723 36.49 -0.750
182.2782 15.6321 0.2460 21.88 -0.520
100.9033 3.1429 0.0974 30.41 -0.891
236.7641 52.6529 0.0662 19.01 -0.779
231.3776 -0.2002 0.1929 13.12 -0.532
193.2313 40.7925 0.2449 29.11 -0.772
111.2988 -0.0923 0.2075 27.74 -0.799
230.3076 -4.3571 0.2297 32.52 -0.686
199.2313 62.7544 0.0895 19.87 -0.570
232.9332 5.2103 0.0363 14.82 -0.859
227.7970 55.7000 0.2701 9.17 -0.523
236.5104 33.5705 0.1242 30.13 -0.582
188.0614 -3.7715 0.1299 24.72 -0.827
123.8552 66.4359 0.2563 12.34 -0.615
214.0968 9.7569 0.1945 15.28 -0.746
205.4805 58.7716 0.1865 15.84 -0.739
226.1830 3.5048 0.3232 9.53 -0.587
128.8798 58.3154 0.0985 13.29 -0.515
133.1458 -8.9417 0.2242 11.35 -0.849
251.3696 30.9424 0.1546 16.27 -0.732
227.4962 51.5554 0.1715 13.82 -0.708
254.3988 64.7836 0.2723 8.87 -0.749
228.9816 62.7362 0.1906 54.98 -0.755
201.5164 55.5700 0.1931 37.41 -0.879
211.2026 61.0553 0.2358 13.55 -0.626
251.1517 5.9376 0.1208 22.92 -0.726
198.3971 12.7347 0.0829 24.64 -0.822
207.5065 13.1175 0.0664 36.28 -0.574
126.6010 20.1643 0.3145 13.28 -0.579
180.5666 21.4657 0.0617 34.53 -0.705
221.7875 33.5644 0.1323 15.21 -0.781
146.0603 2.7904 0.1279 10.26 -0.645
134.3832 45.2997 0.1746 28.73 -0.785
153.3506 3.4053 0.2153 38.13 -0.806
141.0551 14.8247 0.2188 72.94 -0.608
136.5351 30.2676 0.1034 10.98 -0.884
172.2246 53.7152 0.1366 28.37 -0.862
254.3325 49.1575 0.1726 16.29 -0.897
186.2001 41.6427 0.1301 29.59 -0.839
131.9465 2.4619 0.2786 9.59 -0.872
113.0852 33.7636 0.1893 10.64 -0.502
218.3465 -3.0043 0.2088 13.57 -0.784
165.0758 20.1891 0.2030 20.81 -0.840
239.7113 23.0813 0.2439 14.52 -0.804
212.1168 -6.8151 0.1645 27.81 -0.526
235.3610 11.9190 0.0463 33.42 -0.692
146.2308 66.4520 0.1820 26.99 -0.754
217.7010 66.2906 0.0979 44.93 -0.551
144.8905 18.1862 0.1077 24.62 -0.742
259.6416 -6.5520 0.1969 10.88 -0.766
208.1836 4.3276 0.2491 39.54 -0.817
155.1670 21.3774 0.1517 14.78 -0.749
145.8170 65.8224 0.1747 31.53 -0.773
132.4575 1.2959 0.2862 43.93 -0.629
218.0890 51.0813 0.1693 25.13 -0.784
137.1817 -1.3054 0.3581 9.47 -0.669
201.2016 68.5006 0.1952 12.64 -0.874
144.9880 20.5293 0.2103 38.75 -0.823
212.5347 52.0188 0.1805 18.38 -0.737
238.5398 17.4073 0.2532 20.81 -0.525
232.2643 40.2135 0.2039 29.23 -0.749
229.3447 5.3613 0.1389 28.33 -0.634
131.9128 1.6817 0.0521 22.99 -0.798
115.0254 65.0451 0.1333 18.02 -0.849
218.8213 63.4118 0.0820 17.11 -0.877
162.6190 60.9975 0.1036 30.71 -0.778
173.4989 40.0347 0.1971 26.38 -0.837
105.2953 54.6615 0.2836 17.59 -0.830
144.1280 -4.4770 0.1816 34.36 -0.596
105.7250 16.7831 0.0543 18.75 -0.894
249.4616 15.0962 0.1856 13.06 -0.677
141.3774 40.8516 0.2457 13.68 -0.748
194.7473 18.4766 0.1012 12.26 -0.697
106.6265 1.8805 0.1393 17.45 -0.675
213.3641 37.7174 0.1512 37.06 -0.775
154.9146 55.1507 0.0872 13.37 -0.782
252.6463 20.5699 0.2019 21.98 -0.607
250.9801 0.5815 0.1403 14.40 -0.551
155.2994 5.7351 0.1836 17.56 -0.823
253.1634 8.9987 0.0790 9.40 -0.861
269.3468 13.9918 0.1150 17.91 -0.541
240.3207 41.4236 0.2078 18.15 -0.760
243.6281 38.0756 0.1202 26.20 -0.679
142.3315 45.6864 0.2882 22.36 -0.756
198.0394 19.0002 0.1180 10.99 -0.850
111.4335 55.9198 0.1680 34.39 -0.664
116.1360 6.3270 0.2246 22.22 -0.690
269.8117 27.5233 0.0365 22.09 -0.819
155.5287 54.0751 0.0279 19.91 -0.719
227.1913 4.4127 0.2510 15.44 -0.581
237.1331 -1.2110 0.1059 22.30 -0.664
245.8640 60.6947 0.3547 25.37 -0.861
269.5968 17.4344 0.1049 8.35 -0.681
141.0544 44.7096 0.1648 15.28 -0.619
106.8596 -7.9721 0.2734 17.61 -0.583
169.9026 45.2038 0.3105 22.73 -0.648
122.1137 15.2881 0.3149 36.32 -0.839
103.8124 -5.5407 0.2467 13.60 -0.616
161.2726 38.7850 0.2319 15.59 -0.629
233.2355 9.2643 0.1974 15.48 -0.890
